Country,Spearman_RF_DT_top20,Spearman_RF_XGB_top20,Spearman_DT_XGB_top20,Jaccard_RF_DT_top20,Jaccard_RF_XGB_top20,Jaccard_DT_XGB_top20,Mean_Spearman,Mean_Jaccard
Turkey,0.4912663755458515,0.4732673267326732,0.1951965065502183,0.6666666666666666,0.7391304347826086,0.6666666666666666,0.3865767362762477,0.6908212560386473
Turkmenistan,0.3366812227074235,0.5974025974025974,0.2217054263565891,0.6666666666666666,0.9047619047619048,0.6,0.3852630821555367,0.7238095238095238
Sao Tome and Principe,0.541860465116279,0.5506550218340611,0.0062015503875968,0.6,0.6666666666666666,0.6,0.36623901244597895,0.6222222222222222
Nepal,0.4342560553633218,0.4847161572052401,0.1730103806228373,0.5384615384615384,0.6666666666666666,0.5384615384615384,0.3639941977304664,0.5811965811965812
Moldova,0.3807860262008734,0.496943231441048,0.1697674418604651,0.6666666666666666,0.6666666666666666,0.6,0.3491655665007955,0.6444444444444444
Ghana,0.5937984496124031,0.2395348837209302,0.1832298136645962,0.6,0.6,0.4814814814814814,0.33885438233264314,0.5604938271604938
Cameroon,0.4681660899653979,0.4724890829694323,0.0416149068322981,0.5384615384615384,0.6666666666666666,0.4814814814814814,0.3274233599223761,0.5622032288698955
Yemen,0.1257425742574257,0.7188118811881188,0.1292576419213973,0.7391304347826086,0.7391304347826086,0.6666666666666666,0.32460403245564723,0.714975845410628
Peru,0.239751552795031,0.7254237288135593,0.0023255813953488,0.4814814814814814,0.8181818181818182,0.6,0.3225002876679797,0.6332210998877666
Nigeria,0.4540372670807454,0.3255813953488372,0.1546712802768166,0.4814814814814814,0.6,0.5384615384615384,0.31142998090213303,0.5399810066476732
Mozambique,0.4795847750865051,0.2231441048034934,0.2093167701863354,0.5384615384615384,0.6666666666666666,0.4814814814814814,0.3040152166921113,0.5622032288698955
Haiti,0.3519031141868512,0.4608996539792387,0.0778546712802768,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.29688581314878887,0.5384615384615384
Bolivia,0.3100436681222707,0.4790697674418605,0.0659388646288209,0.6666666666666666,0.6,0.6666666666666666,0.2850174333976507,0.6444444444444444
Albania,0.3193798449612403,0.5623762376237623,-0.0573643410852713,0.6,0.7391304347826086,0.6,0.2747972471665771,0.6463768115942029
Guyana,0.1807453416149068,0.6353711790393013,-0.0267080745341614,0.4814814814814814,0.6666666666666666,0.4814814814814814,0.2631361487066822,0.5432098765432097
Malawi,0.4457364341085271,0.0728682170542635,0.2643410852713178,0.6,0.6,0.6,0.2609819121447028,0.6
Mali,0.2730103806228374,0.4611353711790393,0.0044817927170868,0.5384615384615384,0.6666666666666666,0.4285714285714285,0.24620918150632118,0.5445665445665445
Myanmar,0.3110726643598616,0.4224806201550388,-0.0385093167701863,0.5384615384615384,0.6,0.4814814814814814,0.23168132258157137,0.5399810066476732
Togo,0.1788819875776397,0.5821705426356589,-0.0755458515283842,0.4814814814814814,0.6,0.6666666666666666,0.22850222622830482,0.582716049382716
Lesotho,0.413840830449827,0.3896193771626297,-0.1302325581395348,0.5384615384615384,0.5384615384615384,0.6,0.22440921649097392,0.5589743589743589
Eswatini,0.3069767441860465,0.3914728682170542,-0.1403726708074534,0.6,0.6,0.4814814814814814,0.18602564719854908,0.5604938271604938
